,2012,2013,2014,2015,2016,2017
上海,0.06837210753890152,0.07020861004015329,0.11987998037245805,0.11351887616363011,0.36401655244241093,0.35363297417171163
云南,0.07113630763417707,0.06702248369693815,0.08211147890077126,0.07548758506997424,0.2011951183136818,0.22996872555928063
内蒙古,0.06686116574690167,0.05635343510696827,0.06100894887724358,0.04397121990173657,0.6338757532788578,0.09815275803790564
北京,0.07566486248201468,0.09358182869972806,0.10375760811359651,0.09678312989468563,0.5036435049486987,0.16064053109295484
参考,0.12653506354138422,0.11541648498781634,0.12731823320685307,0.1388650999077501,0.6937141470850106,0.49698113933932825
吉林,0.0841432569586922,0.08441809013366904,0.05571117459344773,0.039153181597629524,0.610584050056855,0.07740223706866536
四川,0.08238807338468027,0.08630115383695186,0.06349879073879718,0.0719523986916927,0.3739504380377178,0.12864314496059148
天津,0.08959949504996503,0.08376037959322075,0.08348488936194254,0.07876454361750403,0.5102113462539632,0.1685668385550253
宁夏,0.05771909632018231,0.07384613702195005,0.06433385119017603,0.06288319597168879,0.4300460000521187,0.199513233283943
安徽,0.07426873666371189,0.07968144760448764,0.06429540846310602,0.04873866298494913,0.4253887724061657,0.10822170102753728
山东,0.07215732044706981,0.08591579255534426,0.06972963318691555,0.05096609671920224,0.4882963282743183,0.18326064638392725
山西,0.08026980361156641,0.05871741917227444,0.06311668909436562,0.08780899046223102,0.39140091237414465,0.1909644812050287
广东,0.0805128887277063,0.07583493651754004,0.08279382973407395,0.07432534899151669,0.38729560853911393,0.13308255065168204
广西,0.05943638434376276,0.07583573396211658,0.07097290350353473,0.0916837183649497,0.42380840316904983,0.009508229234436127
新疆,0.014010019015901307,0.0312453168587217,0.04016691548793207,0.05659465494444457,0.49084182552930805,0.1916792436808371
江苏,0.0806663510916041,0.0892954492712294,0.08393529787479488,0.08255310634424402,0.29421074973325584,0.16543352641476478
江西,0.07232459173565044,0.06217227785922473,0.0721724071949347,0.037749330756782336,0.3090417340338268,0.16590546990513957
河北,0.06994753907262592,0.06911491370192281,0.07682423841109726,0.0645546212710116,0.46469465360103124,0.056646398787441106
河南,0.08177813631923699,0.062459690500436496,0.07843197056173441,0.059253601895032995,0.591766071737653,0.21302124427592364
浙江,0.07485469037167855,0.07925449349472238,0.07139140816100355,0.08145163153945835,0.38762968504048884,0.18342650488948564
海南,0.028604693885214694,0.06399201549967169,0.04790739165586768,0.05499979843950979,0.5207169341777277,0.10206531117451936
湖北,0.09046516393261408,0.07730031275118535,0.07328667667838501,0.07937574391076617,0.4499242315695039,0.1257089346476555
湖南,0.09629940631393515,0.058154745142653924,0.06878158136065635,0.05697706244254563,0.4406989333526258,0.2134457943061373
甘肃,0.08692039776975764,0.07974058674293313,0.04754006810177504,0.02382223393367887,0.5028339923872026,0.13840645660645173
福建,0.08215007673901886,0.07355834115992733,0.06542943557851173,0.06804193774456811,0.3962611413824327,0.15612195114841826
贵州,0.09706614212759992,0.09051857260311849,0.1035750919836344,0.09107937988938856,0.21846247324413426,-0.003990893503640165
辽宁,0.08748908486909948,0.07790273166762937,0.06731730380720241,0.048859857078194714,0.5545993507675476,0.1182324482767609
重庆,0.09105080545404194,0.07767320089546659,0.07568550192550863,0.06590898040443575,0.3691585522923018,0.10557815289814133
陕西,0.10218575183897131,0.08905382377118731,0.07588775036194892,0.06051262790634355,0.5727111858246539,0.083641747391456
青海,0.04844381872202282,0.039846536096417626,0.03940479190131441,0.03851095016806541,0.26533658806427524,0.1847309588317477
黑龙江,0.06489140029466496,0.07053993298553171,0.05354759004293082,0.04005878502393295,0.5196027805967275,0.1623237742745161
